DEBUG 2025-03-31 14:47:56,688 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,688 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1740739842.4607008
DEBUG 2025-03-31 14:47:56,688 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1740739842.4890983
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\urllib3\connection.py first seen with mtime 1740743817.28258
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\html\entities.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\unittest\runner.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\__future__.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\graphlib.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\PIL\ExifTags.py first seen with mtime 1740740057.5161412
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1740739841.3829596
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1740739842.519595
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\warnings.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\pprint.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1740739840.838573
DEBUG 2025-03-31 14:47:56,689 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1740739844.224038
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\charset.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\profile.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\requests\cookies.py first seen with mtime 1740743817.5470576
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\lzma.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\multiprocessing\context.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1740739842.4676826
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\orders\admin.py first seen with mtime 1742980660.5819614
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\contentmanager.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1740739842.4730248
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1740739842.3259242
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1740739842.4690359
DEBUG 2025-03-31 14:47:56,690 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\heapq.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,690 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1740739841.070395
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1740739842.5185685
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1740743817.2886834
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1740739841.2931857
DEBUG 2025-03-31 14:47:56,691 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,691 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\__init__.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,691 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\asyncio\coroutines.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1740739844.221204
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1740739842.4770143
DEBUG 2025-03-31 14:47:56,691 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\dis.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\panels\templates\views.py first seen with mtime 1743409870.2181113
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1740739842.4690359
DEBUG 2025-03-31 14:47:56,691 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\importlib\resources\_itertools.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\renderers.py first seen with mtime 1740739844.1110208
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1740739842.3249161
DEBUG 2025-03-31 14:47:56,691 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1740739844.224038
